stat.id,ma.id,category,first.author,year,n1,n2,effect,variance,statistic,ma.doi
1,1,Biomedical,Widrick,2003,9,8,-0.558,NA,d,10.1093/gerona/glp082
2,1,Biomedical,Seeley,1995,516,1331,-0.143,NA,d,10.1093/gerona/glp082
3,1,Biomedical,Armstrong,1996,54,54,-0.102,NA,d,10.1093/gerona/glp082
4,1,Biomedical,Bemben,2002,20,20,-0.097,NA,d,10.1093/gerona/glp082
5,1,Biomedical,Taaffe,1995,48,37,-0.076,NA,d,10.1093/gerona/glp082
6,1,Biomedical,Bassey,1996,91,14,-0.006,NA,d,10.1093/gerona/glp082
7,1,Biomedical,Maddalozzo,2004,59,67,0.009,NA,d,10.1093/gerona/glp082
8,1,Biomedical,Krintz-Silverstein,1994,176,465,0.045,NA,d,10.1093/gerona/glp082
9,1,Biomedical,Maddalozzo,2007,29,34,0.047,NA,d,10.1093/gerona/glp082
10,1,Biomedical,Baumgartner,1996,132,48,0.122,NA,d,10.1093/gerona/glp082
11,1,Biomedical,Taaffe,2005,581,259,0.14,NA,d,10.1093/gerona/glp082
12,1,Biomedical,Uusi-Rasi,2003,35,42,0.158,NA,d,10.1093/gerona/glp082
13,1,Biomedical,Ribom,2002,17,17,0.175,NA,d,10.1093/gerona/glp082
14,1,Biomedical,Greeves,1999,10,11,0.181,NA,d,10.1093/gerona/glp082
15,1,Biomedical,Preisinger,1995,22,21,0.238,NA,d,10.1093/gerona/glp082
16,1,Biomedical,Cauley,1987,255,55,0.473,NA,d,10.1093/gerona/glp082
17,1,Biomedical,Heikkinen,1997,26,52,0.476,NA,d,10.1093/gerona/glp082
18,1,Biomedical,Sipila,2001,17,17,0.478,NA,d,10.1093/gerona/glp082
19,1,Biomedical,Carville,2006,14,15,0.507,NA,d,10.1093/gerona/glp082
20,1,Biomedical,Onambele,2006,8,14,0.569,NA,d,10.1093/gerona/glp082
21,1,Biomedical,Brooke-Wavell,2001,14,22,0.603,NA,d,10.1093/gerona/glp082
22,1,Biomedical,Skelton,1999,50,44,1.237,NA,d,10.1093/gerona/glp082
23,1,Biomedical,Phillips,1993,35,21,1.245,NA,d,10.1093/gerona/glp082
24,1,Biomedical,Taaffe,2005,581,259,-0.021,NA,d,10.1093/gerona/glp082
25,1,Biomedical,Onambele,2006,8,14,0.149,NA,d,10.1093/gerona/glp082
26,1,Biomedical,Sipila,2001,17,17,0.39,NA,d,10.1093/gerona/glp082
27,1,Biomedical,Skelton,1999,50,44,0.541,NA,d,10.1093/gerona/glp082
28,1,Biomedical,Phillips,1993,35,21,1.245,NA,d,10.1093/gerona/glp082
29,1,Biomedical,Seeley,1995,516,1331,-0.327,NA,d,10.1093/gerona/glp082
30,1,Biomedical,Taaffe,1995,48,37,-0.181,NA,d,10.1093/gerona/glp082
31,1,Biomedical,Bemben,2002,20,20,0,NA,d,10.1093/gerona/glp082
32,1,Biomedical,Bemben,2002,20,20,-0.386,NA,d,10.1093/gerona/glp082
33,1,Biomedical,Taaffe,1995,48,37,0,NA,d,10.1093/gerona/glp082
34,1,Biomedical,Ribom,2002,17,17,0.181,NA,d,10.1093/gerona/glp082
35,1,Biomedical,Armstrong,1996,54,54,-0.073,NA,d,10.1093/gerona/glp082
36,1,Biomedical,Bassey,1996,91,14,0,NA,d,10.1093/gerona/glp082
37,1,Biomedical,Seeley,1995,516,1331,0,NA,d,10.1093/gerona/glp082
38,1,Biomedical,Krintz-Silverstein,1994,176,465,0.045,NA,d,10.1093/gerona/glp082
39,1,Biomedical,Baumgartner,1996,132,48,0.122,NA,d,10.1093/gerona/glp082
40,1,Biomedical,Bemben,2002,20,20,0.123,NA,d,10.1093/gerona/glp082
41,1,Biomedical,Taaffe,2005,581,259,0.156,NA,d,10.1093/gerona/glp082
42,1,Biomedical,Ribom,2002,17,17,0.167,NA,d,10.1093/gerona/glp082
43,1,Biomedical,Greeves,1999,10,11,0.179,NA,d,10.1093/gerona/glp082
44,1,Biomedical,Preisinger,1995,22,21,0.238,NA,d,10.1093/gerona/glp082
45,1,Biomedical,Cauley,1987,255,55,0.473,NA,d,10.1093/gerona/glp082
46,1,Biomedical,Widrick,2003,9,8,-0.752,NA,d,10.1093/gerona/glp082
